"Login","Class","Web Experience (year)","Time (ms)","Page Length","Link Clicked","Correct?"
"jimsch06","cs2005","6","68789","2","5","No"
"venera","cs2005","3","39843","1","5","No"
"quangdp","cs2005","6","24577","0.5","4","Yes"
"mhebner","cs2005","8","18375","0.25","4","Yes"
"jgladu","cs2005","6","36235","4","4","Yes"
"marcij","cs2005","8","187960","2","1","No"
"mohney","cs2005","10","33638","1","4","Yes"
"xiaolei","cs2005","2","14281","0.5","3","No"
"jrv","cs2005","12","44422","0.25","4","Yes"
"toattett","cs2005","4","525454","4","4","Yes"
"khg1","cs2005","6","61875","2","4","Yes"
"runesj","cs2005","6-7","13480","1","4","Yes"
"bigben","cs2005","7","20970","0.5","4","Yes"
"aln","cs2005","4","18245","0.25","4","Yes"
"adm7","cs2005","8","66047","4","1","No"
"gbonte","cs2005","8","24765","2","4","Yes"
"niko_g","cs2005","6","85303","1","1","No"
"blainedc","cs2005","5","32590","0.5","4","Yes"
"blainedc","cs2005","5","24091","0.5","4","Yes"
"lenasan","cs2005","4","1142","0.25","1","No"
"andy","cs2005","6","31786","4","4","Yes"
"jmora","cs2005","7","94705","2","4","Yes"
"daking","cs2005","7","54050","1","1","No"
"acastano","cs2005","8","34063","0.5","4","Yes"
"mjg","cs2005","5","15733","0.25","4","Yes"
"jarede","cs2005","10","347340","4","4","Yes"
"","cs2005","","3925","2","5","No"
"apoland","cs2005","6","40539","1","4","Yes"
"kpsiakis","cs2005","7","78202","0.5","4","Yes"
"ajamin","cs2005","7","18787","0.25","5","No"
"mpiette","cs2005","5","54328","4","4","Yes"
"carsten","cs2005","8","15312","1","4","Yes"
"jacoby","cs2005","10","8783","0.5","5","No"
"jchan","cs2005","5","26343","0.25","3","No"
"coi","cs2005","7","54528","4","4","Yes"
"aralich","cs2005","8","26869","2","4","Yes"
"jgheld","cs2005","10","4947","0.5","4","Yes"
"jgheld","cs2005","10","1042","0.5","3","No"
"jgheld","cs2005","10","1683","0.5","4","Yes"
"deej","cs2005","8","88178","1","4","Yes"
"tas246","cs2005","12","9744","0.25","4","Yes"
"rmc617","cs2005","6","26999","4","4","Yes"
"philng","cs2005","6","53437","2","4","Yes"
"aswanson","cs2005","2","102105","1","4","Yes"
"jglavin","cs2005","8","13910","0.5","4","Yes"
"richardi","cs2005","7","8219","0.25","4","Yes"
"richardi","cs2005","7","5218","0.25","4","Yes"
"richardi","cs2005","7","1187","0.25","3","No"
"richardi","cs2005","7","1281","0.25","4","Yes"
"amoraski","cs2005","5","59562","4","4","Yes"
"rambeau","cs2005","11","17895","2","4","Yes"
"tloicto","cs2005","6","27881","1","4","Yes"
"zip","cs2005","10","21571","0.5","4","Yes"
"angela","cs2005","10","28921","0.25","4","Yes"
"victor","cs2005","10","26837","4","2","No"
"mke","cs2005","6","37364","2","4","Yes"
"eamiller","cs2005","7","32777","1","5","No"
"meganw","cs2005","7","54984","0.5","1","No"
"cbaker66","cs2005","9","12281","0.25","4","Yes"
"apnavato","cs2005","1","143360","4","4","Yes"
"busseyd","cs2005","6","141520","2","3","No"
"frost","cs2005","8","11889","1","4","Yes"
"glitch","cs2005","10","20531","0.5","4","Yes"
"glitch","cs2005","10","1141","0.5","5","No"
"glitch","cs2005","10","968","0.5","3","No"
"glitch","cs2005","10","594","0.5","2","No"
"glitch","cs2005","10","610","0.5","1","No"
"glitch","cs2005","10","1125","0.5","4","Yes"
"jonmulla","cs2005","8","8750","0.25","4","Yes"
"chrismt","cs2005","4","6000","4","3","No"
"apapia","cs2005","7","11219","2","4","Yes"
"stefan","cs2005","8","16672","1","4","Yes"
"davean","cs2005","6","30281","0.5","4","Yes"
"tmoney","cs2005","4","8516","0.25","4","Yes"
"donovan","cs2005","5","33829","4","4","Yes"
"csmith45","cs2005","8-10","67796","2","4","Yes"
"rschenk","cs2005","5","44208","1","4","Yes"
"mattroma","cs2005","6","79844","0.5","4","Yes"
"mjbaxter","cs2005","6","14000","0.25","4","Yes"
"jkrol","cs2005","7","38672","4","4","Yes"
"mattmcg","cs2005","7","95235","2","4","Yes"
"mlaboss","cs2005","6","11176","1","4","Yes"
"jlindros","cs2005","6","65675","0.5","4","Yes"
"jonbolt","cs2005","8","16493","0.25","1","No"
"aram","cs2005","6","23656","4","4","Yes"
"melb","cs2005","7","82880","2","1","No"
"sdonovan","cs2005","7","11427","1","4","Yes"
"mhazel","cs2005","around 10","66245","0.5","5","No"
"mshaw323","cs2005","5","24188","0.25","1","No"
"mattmorr","cs2005","6","65672","4","4","Yes"
"crogacz","cs2005","8","43903","2","4","Yes"
"pblanch","cs3041","11","6649","1","4","Yes"
"Nyren","cs2005","7","13149","0.5","4","Yes"
"klondike","cs3041","4","5172","0.25","5","No"
"klondike","cs3041","4","8157","0.25","4","Yes"
"klondike","cs3041","4","9641","0.25","3","No"
"klondike","cs3041","4","10938","0.25","2","No"
"klondike","cs3041","4","12282","0.25","1","No"
"molotov","cs3041","8","84700","4","4","Yes"
"phoenix","cs3041","7","26260","2","4","Yes"
"mgage","cs3041","6","72785","1","1","No"
"bmentz","cs3041","7","43973","0.5","4","Yes"
"jwhite15","cs3041","6","13308","0.25","4","Yes"
"sdoherty","cs3041","7 years","59666","4","1","No"
"jtduell","cs3041","5","40953","2","4","Yes"
"johhaj","cs3041","6","8844","1","4","Yes"
"riffraff","cs3041","6","59502","0.5","4","Yes"
"ekkelley","cs3041","7","20005","0.25","4","Yes"
"ksalamon","cs3041","7","179008","4","2","No"
"tbenoit","cs2005","4","85783","2","4","Yes"
"zviofg","cs3041","10+","7511","1","4","Yes"
"boris","cs3041","7","19498","0.5","4","Yes"
"chris","cs3041","10","15442","0.25","4","Yes"
"oldmixon","cs3041","8","43007","4","4","Yes"
"andrewgh","cs3041","7","9390","2","3","No"
"jpeters","cs3041","7","28078","1","4","Yes"
"jniesz","cs3041","5","13149","0.5","4","Yes"
"DJL","cs3041","7","12147","0.25","4","Yes"
"jglumac","cs2005","5","34660","4","4","Yes"
"chet","cs2005","8","24770","2","4","Yes"
"vitale","cs2005","9","40547","1","4","Yes"
"dsenecal","cs2005","7","7882","0.5","4","Yes"
"jfly","cs3041","6","25336","0.25","4","Yes"
"sander","cs2005","8","30433","4","4","Yes"
"trmptrob","cs2005","6","90969","2","4","Yes"
"mikeleo","cs2005","10","16641","1","4","Yes"
"vastedge","cs3041","9 ?","25907","0.5","5","No"
"minotaur","cs2005","about 5","39037","0.25","4","Yes"
"vuongmai","cs3041","4","69081","4","5","No"
"joemosk","cs2005","7","47719","2","5","No"
"mpedro","cs2005","4","27741","1","4","Yes"
"nickr","cs2005","6","31015","0.5","4","Yes"
"houng","cs3041","8","6269","0.25","4","Yes"
"josevan","cs3041","6 years","8094","4","3","No"
"josevan","cs3041","6 years","2313","4","5","No"
"manta","cs3041","12","16265","2","4","Yes"
"spellane","cs3041","5","83641","1","5","No"
"jplfleur","cs3041","8","11096","0.5","4","Yes"
"fullerae","cs3041","8","13829","0.25","4","Yes"
"dsama7","cs3041","10","7341","4","3","No"
